[10.5, 10.5, 4.5, 4, 25, 2, 22, 24,  3]
[10.5, 10.5, 3, 4, 20, 3, 10, 22,  3]
[10.5, 10.5, 3, 5, 12, 0, 10, 24,  3]
[10.5, 10.5, 3, 5, 12, 0, 10, 15,  3]
[10.5, 10.5, 3, 5, 12, 0, 10, 10,   3]
[10.5, 10.5, 3, 5, 12, 0, 10, 10,   3]
[10.5, 10.5, 4, 5, 12, 0, 10, 15,   3]
[10.5, 10.5, 4, 18, 10, 3, 25, 25,   3]
[10.3, 10.3, 5, 24, 12, 3, 25, 30,   4.8]
[10.3, 10.3, 6, 30, 17, 3, 25, 50,   3]
[10.3, 10.3, 7, 24, 27, 3, 30, 75,   3]
[10.3, 10.3, 5, 18, 37, 3, 32, 87,   3]
[10.3, 10.3, 4.2, 23, 36, 3, 35, 86,   3]
[10.3, 10.3, 4.8, 22, 40, 3, 34, 86,   4.8]
[10.1, 10.2, 4.8, 23, 36, 3, 30, 85,   4.8]
[10.3, 10.3, 6, 19, 37, 3, 30, 85,   5.4]
[10.3, 10.3, 4.2, 18, 40, 3, 32, 88,   4.2]
[10.3, 10.3, 6.6, 23, 36, 3, 32, 88,   4.2]
[10.3, 10.3, 6.5, 23, 34, 3, 33, 85,   4.2]
[10.4, 10.4, 6, 24, 33, 3, 34, 81,   4.2]
[10.4, 10.4, 6, 24, 32, 3, 36, 80,   4.2]
[10.4, 10.4, 6.6, 26, 32, 3, 42, 83,   4.2]
[10.4, 10.4, 6, 28, 30, 4.8, 60, 76,   4.2]
[10.3, 10.3, 6, 30, 21, 4.2, 42, 38,  4.2]
